id,name,description,timestamp
1,SUBFAMILY O,SUBFAMILY O,4/8/18 0:00
2,SUBFAMILY C,SUBFAMILY C,4/2/17 0:00
3,SUBFAMILY L,SUBFAMILY L,5/14/17 0:00
4,SUBFAMILY F,SUBFAMILY F,11/17/16 0:00
5,SUBFAMILY J,SUBFAMILY J,2/8/18 0:00
6,SUBFAMILY A,SUBFAMILY A,10/12/17 0:00
7,SUBFAMILY H,SUBFAMILY H,2/9/17 0:00
8,SUBFAMILY E,SUBFAMILY E,1/12/17 0:00
9,SUBFAMILY M,SUBFAMILY M,2/22/18 0:00
10,SUBFAMILY K,SUBFAMILY K,3/22/18 0:00
11,SUBFAMILY I,SUBFAMILY I,2/1/16 0:00
12,SUBFAMILY D,SUBFAMILY D,1/12/18 0:00
13,SUBFAMILY P,SUBFAMILY P,6/7/18 0:00
14,SUBFAMILY N,SUBFAMILY N,7/10/16 0:00
15,SUBFAMILY B,SUBFAMILY B,4/3/16 0:00
16,SUBFAMILY G,SUBFAMILY G,6/30/16 0:00
